playlist_name,playlist_id,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,Even Flow,6QewNVIDKdSl8Y3ycuHIei,True,80,Ten,5B4PYA7wNN4WdEXdIJu58a,https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864,1991-08-27,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,292581,10,0.00178,0.394,0.944,4.54e-06,0.298,-6.506,0,0.0761,0.265,105.338,"alternative metal, alternative rock, classic rock, grunge, permanent wave, rock"
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,Alive,1L94M3KIu7QluZe63g64rv,False,78,Ten,5B4PYA7wNN4WdEXdIJu58a,https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864,1991-08-27,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,340907,11,0.00752,0.284,0.875,0.000461,0.402,-6.069,0,0.0422,0.595,75.009,"alternative metal, alternative rock, classic rock, grunge, permanent wave, rock"
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,Black,5Xak5fmy089t0FYmh3VJiY,False,77,Ten,5B4PYA7wNN4WdEXdIJu58a,https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864,1991-08-27,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,342653,4,0.323,0.36,0.684,0.0,0.34,-6.457,0,0.0308,0.2,77.15,"alternative metal, alternative rock, classic rock, grunge, permanent wave, rock"
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,Jeremy,62nQ8UZVqR2RMvkJHkcO2o,True,74,Ten,5B4PYA7wNN4WdEXdIJu58a,https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864,1991-08-27,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,318227,2,0.0404,0.285,0.846,0.0,0.182,-6.472,1,0.0438,0.287,108.808,"alternative metal, alternative rock, classic rock, grunge, permanent wave, rock"
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,"Black - Kaufman Astoria Studios - MTV Unplugged - New York, NY 3/16/1992",0DUaFpOFS5H8LbswpbcP2m,False,52,Pearl Jam Twenty Original Motion Picture Soundtrack,1z6iuIsvWR3AjWhMY2xFOk,https://i.scdn.co/image/ab67616d0000b2739ed6d44c0f918e686b691bce,2011-09-16,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,339960,0,0.00901,0.449,0.558,2.21e-06,0.929,-7.189,1,0.0264,0.137,73.636,"alternative metal, alternative rock, classic rock, grunge, permanent wave, rock"
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,Daughter - Remastered,53eJFr4Mfbw5PXJ01K6cFw,False,71,Vs.,3BSOiAas8BpJOii3kCPyjV,https://i.scdn.co/image/ab67616d0000b273777344aba9d5b5785b4593a5,1993-10-19,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,234333,7,0.00746,0.615,0.702,0.00431,0.0608,-9.686,1,0.0278,0.734,96.987,"alternative metal, alternative rock, classic rock, grunge, permanent wave, rock"
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,Yellow Ledbetter,3bE5slaVEfaDreqARl6k4M,False,72,Jeremy,1WJ3UbOi2QYGuRgXCc9FIV,https://i.scdn.co/image/ab67616d0000b2738df1fdc14be33eb2c991d60f,1991,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,303587,4,0.29,0.504,0.354,4.71e-06,0.157,-11.3,1,0.0339,0.292,140.87,"alternative metal, alternative rock, classic rock, grunge, permanent wave, rock"
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,Man in the Box,6gZVQvQZOFpzIy3HblJ20F,True,77,Facelift,5LbHbwejgZXRZAgzVAjkhj,https://i.scdn.co/image/ab67616d0000b2731f829ea9c2c7ffcec1a3c857,1990-08-01,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,285200,8,0.00045,0.355,0.791,0.0,0.0969,-7.565,1,0.0453,0.758,106.392,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock"
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,Rooster (2022 Remaster),0wvIGFIgbyz4JNwQhZgTv2,False,73,Dirt (2022 Remaster),58NXIEYqmq5dQHg9nV9duM,https://i.scdn.co/image/ab67616d0000b2731cd131e5e9ad887ad8c1ecb7,1992-09-29,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,374333,3,0.0307,0.271,0.551,0.000581,0.118,-8.46,1,0.0272,0.2,143.899,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock"
wrapped 2019,7c2FRAZIIiEOd25JEqeAtQ,"Down In A Hole - Live at the Majestic Theatre, Brooklyn, NY - April 1996",2yBAPa9HZj3P2szSaaj4k1,False,57,Unplugged,5PdgIAHzwDvTZRjIGSQGtN,https://i.scdn.co/image/ab67616d0000b273f2b6bebda774909d71e0f796,1996-07-29,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,346027,6,0.0883,0.554,0.515,2.7e-05,0.883,-8.534,1,0.024,0.432,95.125,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock"
