playlist_name,playlist_id,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,It's Been Awhile,1BExV8JprNJLvLeDE9qdEW,True,68,Break the Cycle,0HogGfosAvj4tF3GTv2KIE,https://i.scdn.co/image/ab67616d0000b27300e9c78a5d11dd6cf8e8f43e,2001-05-22,Staind,5KDIH2gF0VpelTqyQS7udb,264707,6,0.00189,0.509,0.774,0.000549,0.143,-4.054,1,0.0338,0.0824,116.529,"alternative metal, nu metal, post-grunge"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Outside,5D6rk7Zr7FRy5m2fDte5fp,False,61,Break the Cycle,0HogGfosAvj4tF3GTv2KIE,https://i.scdn.co/image/ab67616d0000b27300e9c78a5d11dd6cf8e8f43e,2001-05-22,Staind,5KDIH2gF0VpelTqyQS7udb,293133,1,0.00844,0.515,0.594,0.00658,0.0752,-4.708,1,0.0262,0.218,146.564,"alternative metal, nu metal, post-grunge"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Right Here,36IkR2i4HaV3SRsSHzje6v,False,48,Chapter V,4hW0Ey4Me41hKcmbygqhIL,https://i.scdn.co/image/ab67616d0000b2733c3c2180f7380a5d7e474bd5,2005-08-08,Staind,5KDIH2gF0VpelTqyQS7udb,251013,10,0.00141,0.487,0.627,3e-05,0.109,-6.506,0,0.0304,0.219,112.269,"alternative metal, nu metal, post-grunge"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,So Far Away,6FOpPA0a80RuBqqgDozvja,False,69,14 Shades of Grey,6PntFOrFJdHpXE9xzjhkyR,https://i.scdn.co/image/ab67616d0000b27302a1d72dbb73423edb1408be,2003-05-13,Staind,5KDIH2gF0VpelTqyQS7udb,243573,6,0.012,0.407,0.896,0.0,0.196,-2.935,1,0.063,0.156,138.697,"alternative metal, nu metal, post-grunge"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Só Por Uma Noite,3FXo3xKG3aYV3hvdRzUY61,False,68,Bocas Ordinárias,1FsdTRaD7Ec15uKh71PhkE,https://i.scdn.co/image/ab67616d0000b2738113a121677b794124f7a763,2002-01-01,Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,203373,4,0.000382,0.574,0.964,0.0045,0.0578,-2.745,1,0.0458,0.644,109.037,"brazilian rock, hard rock brasileiro, rock alternativo brasileiro, rock nacional brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Lugar Ao Sol,4gEFeIEORz8thfqMY7nKcb,False,73,100% Charlie Brown Jr - Abalando A Sua Fábrica,0Dcy3ThOh8LS1qhXUbZWH7,https://i.scdn.co/image/ab67616d0000b2739ce3f2af269f08d61ac2ab9e,2001-01-01,Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,212600,10,0.0427,0.418,0.768,0.537,0.275,-6.908,1,0.0306,0.296,141.371,"brazilian rock, hard rock brasileiro, rock alternativo brasileiro, rock nacional brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Zóio De Lula,0AsfpL8bzbmEyJsfbPPYnj,False,72,"Preço Curto, Prazo Longo",2hLNxoJZ5kZoBEX0XGBRNu,https://i.scdn.co/image/ab67616d0000b273a31196ef709290f831ee89ae,1999-01-05,Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,252227,6,0.121,0.691,0.668,9.35e-06,0.0613,-3.355,0,0.0702,0.893,152.097,"brazilian rock, hard rock brasileiro, rock alternativo brasileiro, rock nacional brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Me encontra,5yEais1zgeW1MjLrx7tsie,False,66,Camisa 10 joga bola até na chuva,0tbiBipiOorOAnL7XWFbgt,https://i.scdn.co/image/ab67616d0000b273f066003f5c78d52a42bb25b1,2009-09-16,Charlie Brown Jr.,1on7ZQ2pvgeQF4vmIA09x5,211467,8,0.0327,0.395,0.954,0.000123,0.124,-3.878,1,0.0555,0.686,178.001,"brazilian rock, hard rock brasileiro, rock alternativo brasileiro, rock nacional brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Dias Atrás,7hjAhjnMzpMT9vU54w0LYF,False,65,Chegou A Hora De Recomeçar,4vLwnLDByvCxN08icBe18r,https://i.scdn.co/image/ab67616d0000b273881c8b007c6da4ed49e9a2e5,2002,CPM 22,2Jw4Lrfjnyv2QsDoBgnrAP,248373,11,0.000105,0.401,0.957,3.97e-06,0.362,-2.841,1,0.045,0.812,144.446,"brazilian emo, brazilian punk, brazilian rock, pop rock brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Não Sei Viver Sem Ter Você,3QbPw4Aj3JgqG0In3ZPZ4q,False,64,Chegou A Hora De Recomeçar,4vLwnLDByvCxN08icBe18r,https://i.scdn.co/image/ab67616d0000b273881c8b007c6da4ed49e9a2e5,2002,CPM 22,2Jw4Lrfjnyv2QsDoBgnrAP,226693,7,0.00098,0.446,0.936,0.0,0.151,-2.574,1,0.0504,0.637,97.312,"brazilian emo, brazilian punk, brazilian rock, pop rock brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Um Minuto Para O Fim Do Mundo,7ATfTQCF4OGSY91yKk42km,False,71,Felicidade Instantânea,15QTzalN0YZeDIfLswmG5a,https://i.scdn.co/image/ab67616d0000b27362a0156ebaa038067bbaeccc,2005-01-01,CPM 22,2Jw4Lrfjnyv2QsDoBgnrAP,198000,0,0.0054,0.408,0.973,0.0,0.155,-2.802,1,0.049,0.67,126.722,"brazilian emo, brazilian punk, brazilian rock, pop rock brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Simple Man,6F6DxQ3XjToEHX1e2KKSbg,False,61,Pronounced 'Leh-'Nérd 'Skin-'Nérd (Expanded Edition),3THuBNp86ScbTXwpTmAbdw,https://i.scdn.co/image/ab67616d0000b273ed9531fd3add18804cd6d7c1,1973,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,357933,1,0.00079,0.461,0.734,0.00554,0.22,-9.379,1,0.0374,0.423,120.55,"album rock, classic rock, hard rock, rock, southern rock"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,False,84,Second Helping (Expanded Edition),54V1ljNtyzAm053oJqi0SH,https://i.scdn.co/image/ab67616d0000b27317e1907923e91181f38290ac,1974-04-15,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,283800,7,0.181,0.596,0.605,0.000331,0.0863,-12.145,1,0.0255,0.886,97.798,"album rock, classic rock, hard rock, rock, southern rock"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Daqui Pra Frente,5c8q5K1IqH9rEjLK2oupzX,False,59,Agora,6d8ubcrfI9WHDeEr6jOkbY,https://i.scdn.co/image/ab67616d0000b273485b58887e01877d2bb7e4ff,2008-01-01,NX Zero,1A3dFCPF68vh5lyxzBqLUH,186533,5,0.0819,0.549,0.926,0.0,0.571,-3.398,0,0.158,0.872,175.047,"brazilian emo, brazilian rock, pop rock brasileiro, rock alternativo brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Além De Mim,0OQUxQwNFjkClshgwHmzNJ,False,58,NX Zero,36XdECqksmPP6MsEOjW6lG,https://i.scdn.co/image/ab67616d0000b273aa591b352cc8c0966a81dbd8,2006-01-27,NX Zero,1A3dFCPF68vh5lyxzBqLUH,204293,8,0.00506,0.439,0.985,2.07e-05,0.259,-2.979,1,0.0882,0.559,180.04,"brazilian emo, brazilian rock, pop rock brasileiro, rock alternativo brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Inimigo Invisível,1OBIpr5bJBoVHyVKl0mAnA,False,44,Agora,6d8ubcrfI9WHDeEr6jOkbY,https://i.scdn.co/image/ab67616d0000b273485b58887e01877d2bb7e4ff,2008-01-01,NX Zero,1A3dFCPF68vh5lyxzBqLUH,136893,5,0.00968,0.537,0.993,0.0,0.515,-2.348,0,0.0689,0.516,96.06,"brazilian emo, brazilian rock, pop rock brasileiro, rock alternativo brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Entre Nós Dois,3OEpBUS6JQBdfpkm8bul5f,False,47,Agora,6d8ubcrfI9WHDeEr6jOkbY,https://i.scdn.co/image/ab67616d0000b273485b58887e01877d2bb7e4ff,2008-01-01,NX Zero,1A3dFCPF68vh5lyxzBqLUH,204827,8,0.0509,0.63,0.929,0.0,0.231,-2.692,1,0.0296,0.698,116.391,"brazilian emo, brazilian rock, pop rock brasileiro, rock alternativo brasileiro"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Don't Look Back in Anger - Remastered,0UvCh63URrLFcPkKt99hHd,False,76,(What's The Story) Morning Glory? [Remastered],1VW1MFNstaJuygaoTPkdCk,https://i.scdn.co/image/ab67616d0000b27385e5dcc05cc216a10f141480,1995-10-02,Oasis,2DaxqgrOhkeH0fpeiQq2f4,289560,0,0.0708,0.327,0.938,3.79e-06,0.148,-3.237,1,0.0645,0.326,162.937,"beatlesque, britpop, madchester, permanent wave, rock"
wrapped 2022,52adOLpTHfmyc1mrc1TUZ3,Wonderwall - Remastered,5qqabIl2vWzo9ApSC317sa,False,82,(What's The Story) Morning Glory? [Remastered],1VW1MFNstaJuygaoTPkdCk,https://i.scdn.co/image/ab67616d0000b27385e5dcc05cc216a10f141480,1995-10-02,Oasis,2DaxqgrOhkeH0fpeiQq2f4,258773,2,0.000452,0.378,0.896,0.0,0.194,-4.066,1,0.0407,0.469,174.302,"beatlesque, britpop, madchester, permanent wave, rock"
