playlist_name,playlist_id,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,My Own Prison,5vRPXm59z8ewWO6WiJHg3m,False,69,My Own Prison,50EmY7MXVsXoUEdwieYbud,https://i.scdn.co/image/ab67616d0000b2737a12793a027ffd587b93381a,1997-01-01,Creed,43sZBwHjahUvgbx1WNIkIz,298800,10,0.0277,0.505,0.778,0.00275,0.115,-4.778,1,0.0398,0.284,140.493,"alternative metal, nu metal, post-grunge"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,What If,22bX2FwXSvG49G0bPWm5nc,False,64,Human Clay,3Nyjm9NBEdiaiWr2BEaV46,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb,1999-01-01,Creed,43sZBwHjahUvgbx1WNIkIz,318093,2,0.000127,0.433,0.895,1.7e-05,0.358,-5.548,0,0.0587,0.246,149.896,"alternative metal, nu metal, post-grunge"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,Torn,3DzACnzaSuuMseZqqTFfNy,False,58,My Own Prison,50EmY7MXVsXoUEdwieYbud,https://i.scdn.co/image/ab67616d0000b2737a12793a027ffd587b93381a,1997-01-01,Creed,43sZBwHjahUvgbx1WNIkIz,383933,0,0.00037,0.417,0.739,0.00919,0.0692,-7.02,1,0.029,0.126,146.289,"alternative metal, nu metal, post-grunge"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,Higher,1ZozJfi8u9cO2Ob8KwiwNT,False,78,Human Clay,3Nyjm9NBEdiaiWr2BEaV46,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb,1999-01-01,Creed,43sZBwHjahUvgbx1WNIkIz,316733,2,5.15e-05,0.459,0.83,0.00014,0.206,-6.254,1,0.0364,0.431,155.827,"alternative metal, nu metal, post-grunge"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,Ode,777haaltQB8D2GiryRCeue,False,49,My Own Prison,50EmY7MXVsXoUEdwieYbud,https://i.scdn.co/image/ab67616d0000b2737a12793a027ffd587b93381a,1997-01-01,Creed,43sZBwHjahUvgbx1WNIkIz,297067,2,5.14e-05,0.431,0.903,0.000782,0.0811,-6.117,1,0.0337,0.361,93.642,"alternative metal, nu metal, post-grunge"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,One,35GwlKlVXgFCMF5uTp5r7P,False,63,My Own Prison,50EmY7MXVsXoUEdwieYbud,https://i.scdn.co/image/ab67616d0000b2737a12793a027ffd587b93381a,1997-01-01,Creed,43sZBwHjahUvgbx1WNIkIz,302533,6,2.14e-05,0.557,0.933,8.66e-06,0.117,-3.7,0,0.035,0.435,110.946,"alternative metal, nu metal, post-grunge"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,Pity For A Dime,7AMkh36MntX0MkZzBFemFc,False,44,My Own Prison,50EmY7MXVsXoUEdwieYbud,https://i.scdn.co/image/ab67616d0000b2737a12793a027ffd587b93381a,1997-01-01,Creed,43sZBwHjahUvgbx1WNIkIz,329893,4,0.000273,0.397,0.82,0.000236,0.114,-6.458,1,0.0366,0.201,144.877,"alternative metal, nu metal, post-grunge"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,Cemetery Gates,4vJr55lngvhSM8WIh9CjQc,True,69,Cowboys from Hell,5szY4sBOSD6IFjFN1RtWTe,https://i.scdn.co/image/ab67616d0000b2730ce52f4ba340a1e459e6a978,1990-07-20,Pantera,14pVkFUHDL207LzLHtSA18,422933,9,0.000212,0.274,0.726,0.0113,0.0993,-11.541,1,0.0449,0.426,146.449,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,Walk,7fcfNW0XxTWlwVlftzfDOR,True,77,Vulgar Display of Power,7kW0cpKgSVsEqcc8xgbSb0,https://i.scdn.co/image/ab67616d0000b273347c0a40c1e3f0c890a6d9d6,1992-02-21,Pantera,14pVkFUHDL207LzLHtSA18,315120,1,0.000155,0.43,0.704,0.00221,0.0933,-8.008,0,0.0804,0.703,118.242,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,Cowboys from Hell,2SgbR6ttzoNlCRGQOKjrop,True,75,Cowboys from Hell,5szY4sBOSD6IFjFN1RtWTe,https://i.scdn.co/image/ab67616d0000b2730ce52f4ba340a1e459e6a978,1990-07-20,Pantera,14pVkFUHDL207LzLHtSA18,243533,2,0.00437,0.415,0.908,0.0345,0.082,-9.701,1,0.0765,0.437,114.816,"alternative metal, groove metal, hard rock, metal, nu metal, old school thrash, rock, texas metal"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,Stillborn,3tS1VMpxp9bLn46Cyh09el,False,64,The Blessed Hellride,2AO7lfXXz1nHfCJiETaxHo,https://i.scdn.co/image/ab67616d0000b273f99e29660d585bfcfa75346a,2018-09-21,Black Label Society,0zfT626RwO6zN3RDYeRit5,196040,5,2.27e-05,0.585,0.881,0.000939,0.376,-4.719,0,0.0366,0.425,107.028,"alternative metal, groove metal, hard rock, metal, nu metal"
wrapped 2023,3os3auQwfNuEbzZZlHnj8j,Room Of Nightmares,6t8YytxF1J1dMjeKN3qSYg,False,49,Grimmest Hits,4P0VpCtie4owpDpJprwrin,https://i.scdn.co/image/ab67616d0000b2735978fe94349bac4e5ad37c5c,2018-01-18,Black Label Society,0zfT626RwO6zN3RDYeRit5,151933,3,1.23e-05,0.411,0.984,0.00231,0.491,-4.101,0,0.066,0.165,97.15,"alternative metal, groove metal, hard rock, metal, nu metal"
